 Temp K    Humidity     Precip       Wind m/s    WindDir
 296.73     0.0056      0.00000      3.10800       300 
 295.67     0.0056      0.00000      3.11300       250 
 295.04     0.0056      0.00000      2.82400       280 
 294.70     0.0056      0.50800      2.94700       300 
 293.15     0.0056      1.01600      3.67900       250 
 291.62     0.0056      1.27000      3.32000       270 
 289.53     0.0056      2.03200      3.62400       240 
 287.46     0.0055      3.55600      3.90900       220 
 286.60     0.0055      4.06400      4.05000       210 
 286.28     0.0054      5.08000      3.87200       190 
